Fe.contabilizaci줻;Centro de coste;N즡ero de cuenta;Denominaci줻;En moneda local centro de beneficio;Clave moneda ML CeBe;En moneda de la sociedad;Clave moneda moneda sociedad;Acreedor;Nombre del usuario;Fecha de documento;Texto;Documento compras;N� doc.refer.
11/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;733,04;USD;79534,84;ARS;405794;BJADMIN_LO;W;NDT-136;R1850421;5005669341
12/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;257,00;USD;27884,50;ARS;406142;BJADMIN_LO;W;1562-A;R1720021;5005669342
12/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;115,00;USD;12477,50;ARS;406142;BJADMIN_LO;W;D-5820P;R1849321;5005669343
12/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;18,60;USD;2018,00;ARS;204208;BJADMIN_LO;W;CM-6421;R0573021;5005669344
12/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;18,60;USD;2018,00;ARS;204208;BJADMIN_LO;W;530-312;R0904621;5005669345
12/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;18,60;USD;2018,00;ARS;204208;BJADMIN_LO;W;150. MM;R1108821;5005669346
12/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;36,40;USD;3949,00;ARS;204208;BJADMIN_LO;W;QD1R50;R0600521;5005669347
12/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;59,04;USD;6406,00;ARS;204208;BJADMIN_LO;W;585AP;R0426621;5005669348
12/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;36,88;USD;4001,00;ARS;204208;BJADMIN_LO;W;A21;R1346521;5005669349
12/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;36,88;USD;4001,00;ARS;204208;BJADMIN_LO;W;A6Q;R1567121;5005669350
12/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;212,00;USD;23002,00;ARS;406142;BJADMIN_LO;W;10002MRMH;R1859621;5005669607
12/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;733,00;USD;79530,50;ARS;406084;BJADMIN_LO;W;GEIT1254604;R1667521;5005669608
12/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;365,00;USD;39602,50;ARS;406084;BJADMIN_LO;W;USN-58-L-SW;R1649221;5005669609
12/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;365,00;USD;39602,50;ARS;406084;BJADMIN_LO;W;40I013;R1655021;5005669630
12/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;70,85;USD;7687,00;ARS;204208;BJADMIN_LO;W;0-1 IN;R1463721;5005669631
12/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;42,53;USD;4615,00;ARS;204208;BJADMIN_LO;W;2436IN;R0053421;5005670064
12/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;42,53;USD;4615,00;ARS;204208;BJADMIN_LO;W;2665;R1569620;5005670065
12/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;59,04;USD;6406,00;ARS;204208;BJADMIN_LO;W;585BP;R0551021;5005670067
12/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;59,04;USD;6406,00;ARS;204208;BJADMIN_LO;W;585BP;R0426721;5005670068
12/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;28,95;USD;3141,00;ARS;204208;BJADMIN_LO;W;210A;R0865621;5005670069
12/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;210,00;USD;22785,00;ARS;406142;BJADMIN_LO;W;CREF3-294259;R1883221;5005670120
12/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;210,00;USD;22785,00;ARS;406142;BJADMIN_LO;W;CREF3-294259;R1883121;5005670121
12/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;210,00;USD;22785,00;ARS;406142;BJADMIN_LO;W;CREF3-294259;R1883421;5005670122
4/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;65,51;USD;7075,00;ARS;204805;BJADMIN_LO;W;QD1R200;R1696321;5005671842
13/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;113,00;USD;12288,75;ARS;406142;BJADMIN_LO;W;966A1;R1944621;5005671844
13/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;96,02;USD;10442,00;ARS;204208;BJADMIN_LO;W;DPP 10;R0510221;5005671845
13/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;42,44;USD;4615,00;ARS;204208;BJADMIN_LO;W;36-48IN;R0053721;5005671846
13/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;58,91;USD;6406,00;ARS;204208;BJADMIN_LO;W;58 5;R0426221;5005671847
13/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;36,31;USD;3949,00;ARS;204208;BJADMIN_LO;W;QS6 FH;R0579921;5005671848
1/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;65,66;USD;7075,00;ARS;204805;BJADMIN_LO;W;QD1R50;R1434221;5005671849
1/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;65,66;USD;7075,00;ARS;204805;BJADMIN_LO;W;TT500FH;R1570121;5005671860
1/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;65,66;USD;7075,00;ARS;204805;BJADMIN_LO;W;TT250FH;R1570421;5005671861
13/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;95,86;USD;10425,00;ARS;204208;BJADMIN_LO;W;4MIT65B80307-1;R1848821;5005671862
13/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;42,44;USD;4615,00;ARS;204208;BJADMIN_LO;W;2436IN;R0054121;5005671863
13/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;52,45;USD;5704,00;ARS;204208;BJADMIN_LO;W;5 IN.;R0231821;5005671864
13/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;601,00;USD;65358,75;ARS;406142;BJADMIN_LO;W;S471;R1522521;5005671865
13/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;180,00;USD;19575,00;ARS;406142;BJADMIN_LO;W;TS200;R1995621;5005671867
13/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;59,17;USD;6435,00;ARS;204208;BJADMIN_LO;W;IP67;R1534620;5005671868
13/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;28,88;USD;3141,00;ARS;204208;BJADMIN_LO;W;239;R0250221;5005671915
13/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;78,30;USD;8515,00;ARS;204208;BJADMIN_LO;W;25-5041;R0115221;5005671917
13/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;39,54;USD;4300,00;ARS;204208;BJADMIN_LO;W;9970-958-270P22;R0910121;5005671918
13/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;39,54;USD;4300,00;ARS;204208;BJADMIN_LO;W;9970-958-270P24;R0910021;5005671941
